language,average-optimaize,single-words-optimaize,word-pairs-optimaize,sentences-optimaize,average-opennlp,single-words-opennlp,word-pairs-opennlp,sentences-opennlp,average-tika,single-words-tika,word-pairs-tika,sentences-tika,average-lingua-low,single-words-lingua-low,word-pairs-lingua-low,sentences-lingua-low,average-lingua-high,single-words-lingua-high,word-pairs-lingua-high,sentences-lingua-high
Esperanto,NaN,NaN,NaN,NaN,75.93333333333334,49.9,78.4,99.5,NaN,NaN,NaN,NaN,65.5,43.6,60.6,92.30000000000001,83.56666666666666,67.2,85.2,98.3
Estonian,61.166666666666664,23.0,62.9,97.6,59.03333333333333,28.999999999999996,59.599999999999994,88.5,84.33333333333333,65.5,87.9,99.6,83.06666666666668,62.0,87.8,99.4,91.89999999999999,79.9,96.0,99.8
Finnish,78.63333333333334,50.9,85.5,99.5,86.33333333333333,68.10000000000001,91.4,99.5,93.66666666666667,85.6,95.5,99.9,90.56666666666666,77.3,94.6,99.8,96.06666666666666,90.2,98.0,100.0
French,54.36666666666665,18.5,47.699999999999996,96.89999999999999,59.166666666666664,24.9,54.50000000000001,98.1,77.93333333333334,54.7,80.2,98.9,77.23333333333333,51.7,82.6,97.39999999999999,89.2,74.3,94.5,98.8
Ganda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.63333333333334,64.7,86.7,99.5,91.43333333333334,79.0,95.3,100.0
Georgian,NaN,NaN,NaN,NaN,100.0,100.0,100.0,100.0,NaN,NaN,NaN,NaN,99.96666666666665,100.0,100.0,99.9,99.96666666666665,100.0,100.0,99.9
German,55.23333333333333,21.3,45.6,98.8,67.3,37.9,66.10000000000001,97.89999999999999,73.56666666666666,50.1,70.8,99.8,79.8,56.699999999999996,83.5,99.2,89.23333333333333,73.9,94.1,99.7
Greek,100.0,100.0,100.0,100.0,99.96666666666665,100.0,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gujarati,99.89999999999999,100.0,100.0,99.7,99.93333333333334,100.0,100.0,99.8,99.96666666666665,100.0,100.0,99.9,99.93333333333334,99.9,100.0,99.9,99.93333333333334,99.9,100.0,99.9
Hebrew,99.93333333333334,100.0,100.0,99.8,99.93333333333334,100.0,100.0,99.8,99.93333333333334,100.0,100.0,99.8,99.86666666666667,100.0,100.0,99.6,99.86666666666667,100.0,100.0,99.6
Hindi,50.699999999999996,15.8,37.8,98.5,58.46666666666667,27.500000000000004,49.1,98.8,79.5,64.7,74.7,99.1,32.73333333333334,11.3,19.6,67.30000000000001,72.63333333333334,60.699999999999996,64.3,92.9
Hungarian,77.23333333333333,50.9,81.5,99.3,78.2,53.1,81.6,99.9,88.39999999999999,74.8,90.7,99.7,90.13333333333334,77.10000000000001,93.60000000000001,99.7,94.83333333333333,86.6,97.89999999999999,100.0
Icelandic,78.03333333333335,53.300000000000004,81.5,99.3,75.96666666666667,53.1,75.8,99.0,89.8,76.3,93.5,99.6,87.69999999999999,71.89999999999999,92.0,99.2,93.10000000000001,82.8,96.7,99.8
Indonesian,18.133333333333336,0.0,0.6,53.800000000000004,29.0,10.4,24.8,51.800000000000004,60.43333333333334,36.8,62.1,82.39999999999999,47.5,25.1,45.5,71.89999999999999,60.333333333333336,39.300000000000004,60.9,80.80000000000001
Irish,80.2,57.8,85.2,97.6,78.3,56.10000000000001,82.1,96.7,90.33333333333333,79.80000000000001,92.10000000000001,99.1,85.06666666666666,70.0,90.3,94.89999999999999,90.73333333333333,81.89999999999999,94.3,96.0
Italian,51.13333333333333,12.2,43.0,98.2,63.9,30.8,61.4,99.5,80.36666666666667,58.4,83.5,99.2,71.36666666666667,41.8,73.9,98.4,86.86666666666667,69.0,91.9,99.7
Japanese,98.28087316801684,98.72611464968153,100.0,96.11650485436894,95.47473460721869,86.62420382165605,99.8,100.0,24.59744398408674,1.2738853503184715,4.8,67.71844660194175,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kazakh,NaN,NaN,NaN,NaN,85.36666666666667,66.3,90.0,99.8,NaN,NaN,NaN,NaN,89.96666666666665,78.3,92.9,98.7,91.83333333333333,79.9,96.5,99.1
Korean,99.89999999999999,100.0,100.0,99.7,99.93333333333334,100.0,100.0,99.8,99.86666666666667,100.0,100.0,99.6,99.96666666666665,100.0,100.0,99.9,99.96666666666665,100.0,100.0,99.9
Latin,NaN,NaN,NaN,NaN,69.89999999999999,43.0,71.0,95.7,NaN,NaN,NaN,NaN,72.60000000000001,49.1,75.7,93.0,87.23333333333333,72.39999999999999,92.7,96.6
Latvian,78.33333333333333,55.60000000000001,82.0,97.39999999999999,86.23333333333335,72.0,88.3,98.4,89.89999999999999,78.5,92.7,98.5,87.2,74.8,90.2,96.6,93.43333333333334,84.8,96.8,98.7
Lithuanian,71.93333333333334,40.400000000000006,77.2,98.2,79.2,55.7,82.8,99.1,88.7,74.4,92.5,99.2,87.43333333333334,75.5,88.8,98.0,94.56666666666666,86.4,97.6,99.7
Macedonian,46.03333333333333,9.8,31.5,96.8,67.86666666666666,37.4,67.7,98.5,83.13333333333333,66.5,83.2,99.7,72.2,51.6,70.0,95.0,83.53333333333333,65.7,86.3,98.6
Malay,3.733333333333333,0.0,0.2,11.0,18.900000000000002,10.299999999999999,19.6,26.8,22.833333333333332,19.3,21.7,27.500000000000004,31.066666666666663,21.7,35.699999999999996,35.8,31.46666666666667,26.0,38.4,30.0
